notes_clean,injured,activated,days_injured,injury_type,injury_duration,player_name,year_end,position,height,weight,college,career_length,prior_injuries
placed on il with sprained right ankle,2022-01-29,2022-02-23,25.0,joint,medium,Shai Gilgeous-Alexander,2022,G,6-6,180.0,Kentucky,4,4
placed on il with sore right ankle,2022-03-20,2022-03-21,1.0,joint,short,Shai Gilgeous-Alexander,2022,G,6-6,180.0,Kentucky,4,5
placed on il with sore right ankle out for season,2022-03-23,2022-12-03,255.0,joint,long,Shai Gilgeous-Alexander,2022,G,6-6,180.0,Kentucky,4,6
placed on il with sore right ankle,2023-02-24,2023-02-28,4.0,joint,short,Shai Gilgeous-Alexander,2022,G,6-6,180.0,Kentucky,4,7
placed on il with strained abdominal,2023-03-12,2023-03-14,2.0,muscle,short,Shai Gilgeous-Alexander,2022,G,6-6,180.0,Kentucky,4,8
placed on il with sprained left ankle,2023-03-28,2023-03-31,3.0,joint,short,Shai Gilgeous-Alexander,2022,G,6-6,180.0,Kentucky,4,9
placed on il with fractured finger,2019-02-05,2019-11-12,280.0,bone,long,Shake Milton,2022,G,6-5,205.0,SMU,4,0
placed on il with left knee injury,2019-10-30,2019-11-12,13.0,joint,medium,Shake Milton,2022,G,6-5,205.0,SMU,4,1
placed on il with sprained left ankle,2021-02-11,2021-02-21,10.0,joint,medium,Shake Milton,2022,G,6-5,205.0,SMU,4,2
placed on il with sprained right ankle,2021-10-19,2021-10-28,9.0,joint,medium,Shake Milton,2022,G,6-5,205.0,SMU,4,3
placed on ir with fractured left ring finger,2001-10-29,2001-11-13,15.0,bone,medium,Shammond Williams,2007,G,6-1,201.0,UNC,9,0
placed on il with sprained left knee,2003-11-16,2003-12-05,19.0,joint,medium,Shammond Williams,2007,G,6-1,201.0,UNC,9,1
placed on il with stress fracture in left foot,1996-12-30,1997-01-30,31.0,bone,medium,Shandon Anderson,2006,F-G,6-6,208.0,Georgia,10,0
placed on il with left footankle injury,2008-04-11,2008-04-14,3.0,joint,short,Shane Battier,2014,F,6-8,220.0,Duke,13,0
placed on il with sprained mcl in left knee,2010-03-25,2010-04-14,20.0,joint,medium,Shane Battier,2014,F,6-8,220.0,Duke,13,1
placed on il with sprained mcl in right knee,2012-11-29,2012-12-06,7.0,joint,short,Shane Battier,2014,F,6-8,220.0,Duke,13,2
placed on il with right hamstring injury,2013-01-10,2013-01-16,6.0,muscle,short,Shane Battier,2014,F,6-8,220.0,Duke,13,3
placed on il with hamstring injury,2013-02-26,2013-03-01,3.0,muscle,short,Shane Battier,2014,F,6-8,220.0,Duke,13,4
placed on il with sore left knee out for season,2013-04-12,2013-11-29,231.0,joint,long,Shane Battier,2014,F,6-8,220.0,Duke,13,5
placed on il with sore quadriceps,2014-01-04,2014-01-15,11.0,muscle,medium,Shane Battier,2014,F,6-8,220.0,Duke,13,6
placed on il recovering from surgery to repair fractured right ankle,2013-10-30,2013-11-18,19.0,bone,medium,Shane Larkin,2018,G,5-11,175.0,Miami (FL),5,0
placed on il with sprained right ankle,2014-01-13,2014-01-15,2.0,joint,short,Shane Larkin,2018,G,5-11,175.0,Miami (FL),5,1
placed on il with sore left knee,2017-12-21,2017-12-23,2.0,joint,short,Shane Larkin,2018,G,5-11,175.0,Miami (FL),5,2
placed on il with sore right knee dtd,2018-02-06,2018-02-24,18.0,joint,medium,Shane Larkin,2018,G,5-11,175.0,Miami (FL),5,3
placed on il with illness,2018-03-31,2018-04-06,6.0,illness,short,Shane Larkin,2018,G,5-11,175.0,Miami (FL),5,4
placed on ir with fractured right thumb,1995-11-02,1995-12-08,36.0,bone,medium,Shaquille O'Neal,2011,C,7-1,325.0,Louisiana State University,19,0
placed on ir with torn collateral ligament in left knee,1997-02-13,1997-04-11,57.0,joint,long,Shaquille O'Neal,2011,C,7-1,325.0,Louisiana State University,19,1
placed on il with bruised right quadricep,2005-04-19,2005-12-11,236.0,muscle,long,Shaquille O'Neal,2011,C,7-1,325.0,Louisiana State University,19,2
placed on il with sprained right ankle,2005-11-05,2005-12-11,36.0,joint,medium,Shaquille O'Neal,2011,C,7-1,325.0,Louisiana State University,19,3
placed on il with hyperextended left knee,2006-03-29,2006-04-02,4.0,joint,short,Shaquille O'Neal,2011,C,7-1,325.0,Louisiana State University,19,4
placed on il with bruised left knee,2006-11-07,2006-11-10,3.0,joint,short,Shaquille O'Neal,2011,C,7-1,325.0,Louisiana State University,19,5
placed on il with hyperextended left knee,2006-11-14,2007-01-24,71.0,joint,long,Shaquille O'Neal,2011,C,7-1,325.0,Louisiana State University,19,6
placed on il with torn cartilage in left knee,2006-11-17,2007-01-24,68.0,joint,long,Shaquille O'Neal,2011,C,7-1,325.0,Louisiana State University,19,7
placed on il with strained shoulder,2009-11-14,2009-11-27,13.0,muscle,medium,Shaquille O'Neal,2011,C,7-1,325.0,Louisiana State University,19,8
placed on il with sprained right thumb,2010-02-26,2010-04-17,50.0,joint,long,Shaquille O'Neal,2011,C,7-1,325.0,Louisiana State University,19,9
placed on il with bruised right knee,2010-11-02,2010-11-11,9.0,joint,medium,Shaquille O'Neal,2011,C,7-1,325.0,Louisiana State University,19,10
placed on il with strained right calf muscle,2011-04-05,2011-05-07,32.0,muscle,medium,Shaquille O'Neal,2011,C,7-1,325.0,Louisiana State University,19,11
placed on il with sprained left knee,2001-11-10,2001-11-13,3.0,joint,short,Shareef Abdur-Rahim,2008,F,6-9,225.0,California,12,0
placed on il with flu,2006-12-27,2006-12-29,2.0,illness,short,Shareef Abdur-Rahim,2008,F,6-9,225.0,California,12,1
placed on il with sore right knee,2007-01-31,2007-02-03,3.0,joint,short,Shareef Abdur-Rahim,2008,F,6-9,225.0,California,12,2
placed on ir with aggravated right shoulder injury,1998-03-23,1998-04-20,28.0,joint,medium,Sharone Wright,1998,F-C,6-11,260.0,Clemson,4,0
placed on il with dislocated right kneecap,2004-11-23,2005-02-12,81.0,joint,long,Shaun Livingston,2019,G,6-7,192.0,Skipped college,15,0
placed on il with torn cartilage in right shoulder,2005-02-21,2005-03-19,26.0,joint,medium,Shaun Livingston,2019,G,6-7,192.0,Skipped college,15,1
placed on il with sprained right ankle,2007-01-17,2007-01-23,6.0,joint,short,Shaun Livingston,2019,G,6-7,192.0,Skipped college,15,2
placed on il with left knee injury out for season,2007-02-28,2008-11-26,637.0,joint,long,Shaun Livingston,2019,G,6-7,192.0,Skipped college,15,3
placed on il recovering from surgery on left knee,2007-10-29,2008-11-26,394.0,joint,long,Shaun Livingston,2019,G,6-7,192.0,Skipped college,15,4
placed on il with knee injury,2008-11-05,2008-11-26,21.0,joint,medium,Shaun Livingston,2019,G,6-7,192.0,Skipped college,15,5
placed on il recovering from surgery on left knee to remove staples from an earlier surgery,2009-11-22,2009-11-27,5.0,joint,short,Shaun Livingston,2019,G,6-7,192.0,Skipped college,15,6
placed on il with sprained right big toe,2014-04-13,2015-03-27,348.0,joint,long,Shaun Livingston,2019,G,6-7,192.0,Skipped college,15,7
placed on il with strained back,2017-02-02,2017-02-04,2.0,muscle,short,Shaun Livingston,2019,G,6-7,192.0,Skipped college,15,8
placed on il with sore right knee,2017-12-18,2017-12-22,4.0,joint,short,Shaun Livingston,2019,G,6-7,192.0,Skipped college,15,9
placed on il with sore right knee,2017-12-23,2017-12-25,2.0,joint,short,Shaun Livingston,2019,G,6-7,192.0,Skipped college,15,10
placed on il with sore right foot  knee,2018-04-07,2018-04-08,1.0,joint,short,Shaun Livingston,2019,G,6-7,192.0,Skipped college,15,11
placed on il with bruised left knee,2018-10-21,2018-10-24,3.0,joint,short,Shaun Livingston,2019,G,6-7,192.0,Skipped college,15,12
placed on il with sore left knee,2019-01-08,2019-01-11,3.0,joint,short,Shaun Livingston,2019,G,6-7,192.0,Skipped college,15,13
placed on il with sore left knee,2019-04-10,2019-04-12,2.0,joint,short,Shaun Livingston,2019,G,6-7,192.0,Skipped college,15,14
placed on il with stress fracture in left foot,2005-10-31,2005-11-09,9.0,bone,medium,Shavlik Randolph,2015,F,6-10,240.0,Duke,10,0
placed on il withi broken left ankle,2006-12-02,2007-12-07,370.0,bone,long,Shavlik Randolph,2015,F,6-10,240.0,Duke,10,1
placed on il with left ankle injury,2007-10-29,2007-12-07,39.0,joint,medium,Shavlik Randolph,2015,F,6-10,240.0,Duke,10,2
placed on il with strained hamstring,2015-02-01,2015-02-20,19.0,muscle,medium,Shavlik Randolph,2015,F,6-10,240.0,Duke,10,3
placed on il recovering from surgery on left knee,1994-02-26,2002-01-08,2873.0,joint,long,Shawn Bradley,2005,C,7-6,235.0,BYU,12,0
placed on il with bone bruise in right knee,2002-01-02,2002-01-08,6.0,joint,short,Shawn Bradley,2005,C,7-6,235.0,BYU,12,1
placed on il with sore right knee,2002-02-21,2002-03-05,12.0,joint,medium,Shawn Bradley,2005,C,7-6,235.0,BYU,12,2
placed on il with sore left knee,1999-12-05,2000-02-08,65.0,joint,long,Shawn Marion,2015,F,6-7,220.0,"Vincennes University, UNLV",16,0
placed on il with strained left groin,2009-01-18,2009-01-21,3.0,muscle,short,Shawn Marion,2015,F,6-7,220.0,"Vincennes University, UNLV",16,1
placed on il with strained groin,2009-01-24,2009-02-02,9.0,muscle,medium,Shawn Marion,2015,F,6-7,220.0,"Vincennes University, UNLV",16,2
placed on il with sprained right wrist,2011-03-20,2011-03-23,3.0,joint,short,Shawn Marion,2015,F,6-7,220.0,"Vincennes University, UNLV",16,3
placed on il with sprained mcl in left knee,2012-11-07,2012-11-16,9.0,joint,medium,Shawn Marion,2015,F,6-7,220.0,"Vincennes University, UNLV",16,4
placed on il with strained right groin,2012-12-08,2012-12-12,4.0,muscle,short,Shawn Marion,2015,F,6-7,220.0,"Vincennes University, UNLV",16,5
placed on il with bruised right shoulder,2014-01-08,2014-01-13,5.0,joint,short,Shawn Marion,2015,F,6-7,220.0,"Vincennes University, UNLV",16,6
placed on il with bruised right shoulder,2014-01-31,2014-02-05,5.0,joint,short,Shawn Marion,2015,F,6-7,220.0,"Vincennes University, UNLV",16,7
placed on il with strained left hip,2015-02-24,2015-03-16,20.0,muscle,medium,Shawn Marion,2015,F,6-7,220.0,"Vincennes University, UNLV",16,8
placed on il with sprained left shoulder,2012-02-15,,,joint,unknown,Shawne Williams,2015,F,6-9,225.0,Memphis,9,0
placed on ir with posterior capsule strain of left knee,1996-10-31,1997-01-13,74.0,muscle,long,Shawnelle Scott,2002,C,6-10,250.0,St. John's,6,0
placed on il with flu,2007-02-07,2007-02-09,2.0,illness,short,Shelden Williams,2012,F,6-9,250.0,Duke,6,0
placed on il with strained left calf,2015-01-19,2015-02-08,20.0,muscle,medium,Shelvin Mack,2019,G,6-3,203.0,Butler,8,0
placed on il with sprained left ankle,2017-03-05,2017-03-27,22.0,joint,medium,Shelvin Mack,2019,G,6-3,203.0,Butler,8,1
placed on il with left knee tendinitis,1996-02-24,1996-03-05,10.0,joint,medium,Sherell Ford,1996,F,6-7,210.0,University of Illinois at Chicago,1,0
placed on ir with chronic tendinitis in left quadricep,1996-04-02,1996-04-19,17.0,muscle,medium,Sherell Ford,1996,F,6-7,210.0,University of Illinois at Chicago,1,1
placed on il with sprained ligament in knee,1994-11-16,1994-12-12,26.0,joint,medium,Sherman Douglas,2001,G,6-0,180.0,Syracuse,12,0
placed on il with strained groin,1999-03-10,1999-03-18,8.0,muscle,medium,Sherman Douglas,2001,G,6-0,180.0,Syracuse,12,1
placed on il with strained left quadriceps,1999-03-23,1999-04-04,12.0,muscle,medium,Sherman Douglas,2001,G,6-0,180.0,Syracuse,12,2
placed on il with sore left ankle,1999-12-28,2000-04-19,113.0,joint,long,Sherman Douglas,2001,G,6-0,180.0,Syracuse,12,3
placed on il with strained left shoulder,2018-01-17,2018-01-19,2.0,muscle,short,Skal Labissiere,2018,F,6-11,225.0,University of Kentucky,2,0
placed on il with strained left shoulder,2018-01-28,2018-02-22,25.0,muscle,medium,Skal Labissiere,2018,F,6-11,225.0,University of Kentucky,2,1
placed on il with sprained left ankle out for season,2018-04-06,2018-10-30,207.0,joint,long,Skal Labissiere,2018,F,6-11,225.0,University of Kentucky,2,2
placed on il with left knee injury,2020-01-08,,,joint,unknown,Skal Labissiere,2018,F,6-11,225.0,University of Kentucky,2,3
placed on il with illness,2022-03-22,2022-03-31,9.0,illness,medium,Skylar Mays,2022,G,6-4,205.0,LSU,2,0
placed on il with sprained ankle,1984-01-10,1984-01-19,9.0,joint,medium,Sleepy Floyd,1995,G,6-3,170.0,Georgetown,13,0
placed on il with sore knee,1994-11-03,1994-11-15,12.0,joint,medium,Sleepy Floyd,1995,G,6-3,170.0,Georgetown,13,1
placed on il with tendinitis in both knees,1995-01-19,1995-02-01,13.0,joint,medium,Sleepy Floyd,1995,G,6-3,170.0,Georgetown,13,2
placed on ir with degenerative left knee,1995-02-16,1995-04-04,47.0,joint,long,Sleepy Floyd,1995,G,6-3,170.0,Georgetown,13,3
placed on il with sprained right ankle,2003-02-05,2003-02-25,20.0,joint,medium,Smush Parker,2008,G,6-4,190.0,Fordham,6,0
placed on il with sprained left ankle,2007-11-17,2007-11-21,4.0,joint,short,Smush Parker,2008,G,6-4,190.0,Fordham,6,1
placed on il with upper respiratory infection,2012-02-28,2012-03-05,6.0,illness,short,Solomon Alabi,2012,C,7-1,251.0,Florida State,2,0
placed on il recovering from surgery to repair torn left hamstring,2017-10-17,2018-03-18,152.0,muscle,long,Solomon Hill,2022,F,6-6,226.0,Arizona,9,0
placed on il with right hamstring injury out for season,2021-12-06,2022-01-19,44.0,muscle,medium,Solomon Hill,2022,F,6-6,226.0,Arizona,9,1
placed on il with sprained left ankle,2014-01-02,2014-01-02,0.0,joint,short,Solomon Jones,2014,F,6-10,230.0,South Florida,8,0
placed on il with strained left groin,2008-10-29,2008-11-05,7.0,muscle,short,Sonny Weems,2016,G-F,6-6,205.0,Arkansas,8,0
placed on il with sore left knee,2009-11-04,2009-11-06,2.0,joint,short,Sonny Weems,2016,G-F,6-6,205.0,Arkansas,8,1
placed on il with pulled rip cage muscle,2010-01-19,2010-01-20,1.0,muscle,short,Sonny Weems,2016,G-F,6-6,205.0,Arkansas,8,2
placed on il with ankle injury,2010-11-06,2010-11-08,2.0,joint,short,Sonny Weems,2016,G-F,6-6,205.0,Arkansas,8,3
placed on il with left knee tendinitis,2001-01-05,2001-01-23,18.0,joint,medium,Soumaila Samake,2003,C,7-0,230.0,Skipped college,3,0
placed on il with torn acl in left knee out for season,2000-10-30,2001-07-01,244.0,joint,long,Speedy Claxton,2009,G,5-11,166.0,Hofstra,8,0
placed on il with sprained left ankle,2001-12-10,2001-12-28,18.0,joint,medium,Speedy Claxton,2009,G,5-11,166.0,Hofstra,8,1
placed on ir with dislocated right shoulder,2002-11-03,2003-02-15,104.0,joint,long,Speedy Claxton,2009,G,5-11,166.0,Hofstra,8,2
placed on il with broken right hand,2004-03-10,2004-04-05,26.0,bone,medium,Speedy Claxton,2009,G,5-11,166.0,Hofstra,8,3
placed on il with strained right groin,2005-04-08,2006-03-06,332.0,muscle,long,Speedy Claxton,2009,G,5-11,166.0,Hofstra,8,4
placed on il with sprained left ankle,2006-02-22,2006-03-06,12.0,joint,medium,Speedy Claxton,2009,G,5-11,166.0,Hofstra,8,5
placed on il with knee injury,2006-04-16,2006-12-08,236.0,joint,long,Speedy Claxton,2009,G,5-11,166.0,Hofstra,8,6
placed on il with sore left knee,2006-12-06,2006-12-08,2.0,joint,short,Speedy Claxton,2009,G,5-11,166.0,Hofstra,8,7
placed on il with left knee injury,2007-01-12,2007-02-02,21.0,joint,medium,Speedy Claxton,2009,G,5-11,166.0,Hofstra,8,8
placed on il with left knee injury,2007-01-15,2007-02-02,18.0,joint,medium,Speedy Claxton,2009,G,5-11,166.0,Hofstra,8,9
placed on il with knee injury,2007-03-05,2009-04-14,771.0,joint,long,Speedy Claxton,2009,G,5-11,166.0,Hofstra,8,10
placed on il recovering from surgery on left knee,2007-10-29,2009-04-14,533.0,joint,long,Speedy Claxton,2009,G,5-11,166.0,Hofstra,8,11
placed on il with hamstring injury,2008-10-29,2009-04-14,167.0,muscle,long,Speedy Claxton,2009,G,5-11,166.0,Hofstra,8,12
placed on il with sprained left ankle out for season,2015-04-08,2016-03-29,356.0,joint,long,Spencer Dinwiddie,2022,G,6-5,215.0,Colorado,8,0
placed on il with tightness in right hamstring,2017-11-11,2017-11-14,3.0,muscle,short,Spencer Dinwiddie,2022,G,6-5,215.0,Colorado,8,1
placed on il with sore right knee out for season,2018-04-11,2019-03-01,324.0,joint,long,Spencer Dinwiddie,2022,G,6-5,215.0,Colorado,8,2
placed on il with torn acl in right knee out for season,2020-12-28,2021-10-30,306.0,joint,long,Spencer Dinwiddie,2022,G,6-5,215.0,Colorado,8,3
placed on il with right knee injury,2021-11-18,2021-11-20,2.0,joint,short,Spencer Dinwiddie,2022,G,6-5,215.0,Colorado,8,4
placed on il with right knee injury,2021-11-27,2021-11-29,2.0,joint,short,Spencer Dinwiddie,2022,G,6-5,215.0,Colorado,8,5
placed on il with right knee injury,2021-12-06,2021-12-08,2.0,joint,short,Spencer Dinwiddie,2022,G,6-5,215.0,Colorado,8,6
placed on il with right knee injury,2021-12-16,2021-12-18,2.0,joint,short,Spencer Dinwiddie,2022,G,6-5,215.0,Colorado,8,7
placed on il with right knee injury,2022-03-19,2022-03-20,1.0,joint,short,Spencer Dinwiddie,2022,G,6-5,215.0,Colorado,8,8
placed on il with right knee injury,2022-03-30,2022-03-31,1.0,joint,short,Spencer Dinwiddie,2022,G,6-5,215.0,Colorado,8,9
placed on il recovering from arthroscopic surgery on left knee,2007-10-29,2007-11-09,11.0,joint,medium,Spencer Hawes,2017,C-F,7-1,245.0,Washington,10,0
placed on il with abdominal strain,2008-12-30,2009-01-06,7.0,muscle,short,Spencer Hawes,2017,C-F,7-1,245.0,Washington,10,1
placed on il with bruised knee out for season,2010-04-03,2012-02-04,672.0,joint,long,Spencer Hawes,2017,C-F,7-1,245.0,Washington,10,2
placed on il with strained left achilles tendon,2012-01-30,2012-02-04,5.0,muscle,short,Spencer Hawes,2017,C-F,7-1,245.0,Washington,10,3
placed on il with strained left achilles tendon,2012-03-02,2012-03-14,12.0,muscle,medium,Spencer Hawes,2017,C-F,7-1,245.0,Washington,10,4
placed on il with bruised left knee,2014-12-13,2014-12-29,16.0,joint,medium,Spencer Hawes,2017,C-F,7-1,245.0,Washington,10,5
placed on il with strained lower back,2016-02-19,2016-03-14,24.0,muscle,medium,Spencer Hawes,2017,C-F,7-1,245.0,Washington,10,6
placed on il with sprained mcl in right knee out for season,2016-04-29,2017-02-10,287.0,joint,long,Spencer Hawes,2017,C-F,7-1,245.0,Washington,10,7
sprained left ankle dtd,1995-04-19,2004-12-01,3514.0,joint,long,Stacey Augmon,2006,F-G,6-8,205.0,UNLV,15,0
placed on il with left knee patella tendinitis,2004-11-20,2004-12-01,11.0,joint,medium,Stacey Augmon,2006,F-G,6-8,205.0,UNLV,15,1
placed on il with sprained left knee  ankle,1994-12-16,1994-12-30,14.0,joint,medium,Stacey King,1997,F-C,6-11,230.0,Oklahoma,8,0
placed on ir with sprained left ankle,1995-01-13,1995-02-02,20.0,joint,medium,Stacey King,1997,F-C,6-11,230.0,Oklahoma,8,1
placed on ir with sprained left ankle,1995-02-18,1995-02-26,8.0,joint,medium,Stacey King,1997,F-C,6-11,230.0,Oklahoma,8,2
placed on il with sprained right ankle,1995-11-15,1995-12-19,34.0,joint,medium,Stacey King,1997,F-C,6-11,230.0,Oklahoma,8,3
placed on il with right knee tendinitis,2000-10-30,2000-12-19,50.0,joint,long,Stanislav Medvedenko,2007,F,6-10,250.0,Skipped college,7,0
placed on il with right knee tendinitis,2001-01-19,2001-04-10,81.0,joint,long,Stanislav Medvedenko,2007,F,6-10,250.0,Skipped college,7,1
placed on il with strained right hip flexor,2018-01-03,2018-01-08,5.0,muscle,short,Stanley Johnson,2022,F,6-6,242.0,Arizona,7,0
placed on il with bruised left knee,2018-12-09,2018-12-12,3.0,joint,short,Stanley Johnson,2022,F,6-6,242.0,Arizona,7,1
placed on il with sprained left ankle,1995-11-30,1996-01-19,50.0,joint,long,Stanley Roberts,2000,C,7-0,285.0,LSU,9,0
placed on il with strained right hamstring,1999-02-25,1999-04-29,63.0,muscle,long,Stanley Roberts,2000,C,7-0,285.0,LSU,9,1
placed on il with shoulder surgery,1999-11-01,1999-11-12,11.0,joint,medium,Stanley Roberts,2000,C,7-0,285.0,LSU,9,2
placed on il with strained lower back,1999-11-22,,,muscle,unknown,Stanley Roberts,2000,C,7-0,285.0,LSU,9,3
placed on il with sprained right ankle,2010-10-31,2010-11-05,5.0,joint,short,Stephen Curry,2022,G,6-2,185.0,Davidson,13,0
placed on il with sprained left ankle,2010-12-11,2010-12-25,14.0,joint,medium,Stephen Curry,2022,G,6-2,185.0,Davidson,13,1
placed on il with sprained right ankle,2011-12-28,2011-12-31,3.0,joint,short,Stephen Curry,2022,G,6-2,185.0,Davidson,13,2
placed on il with sprained right ankle,2012-01-06,2012-01-20,14.0,joint,medium,Stephen Curry,2022,G,6-2,185.0,Davidson,13,3
placed on il with sprained right ankle out for season,2012-03-27,2013-02-02,312.0,joint,long,Stephen Curry,2022,G,6-2,185.0,Davidson,13,4
placed on il with sprained right ankle,2013-01-31,2013-02-02,2.0,joint,short,Stephen Curry,2022,G,6-2,185.0,Davidson,13,5
placed on il with concussion,2013-11-20,2013-11-23,3.0,concussion,short,Stephen Curry,2022,G,6-2,185.0,Davidson,13,6
placed on il with sprained right ankle,2016-04-18,2016-04-24,6.0,joint,short,Stephen Curry,2022,G,6-2,185.0,Davidson,13,7
placed on il with sprained mcl in right knee,2016-04-27,2016-05-09,12.0,joint,medium,Stephen Curry,2022,G,6-2,185.0,Davidson,13,8
placed on il with stomach flu,2017-01-29,2017-02-01,3.0,illness,short,Stephen Curry,2022,G,6-2,185.0,Davidson,13,9
placed on il with sprained right ankle,2017-12-06,2017-12-30,24.0,joint,medium,Stephen Curry,2022,G,6-2,185.0,Davidson,13,10
placed on il with sprained right ankle,2018-03-09,2018-03-23,14.0,joint,medium,Stephen Curry,2022,G,6-2,185.0,Davidson,13,11
placed on il with sprained mcl in left knee,2018-03-25,2018-05-01,37.0,joint,medium,Stephen Curry,2022,G,6-2,185.0,Davidson,13,12
placed on il with strained left groin,2018-11-10,2018-12-01,21.0,muscle,medium,Stephen Curry,2022,G,6-2,185.0,Davidson,13,13
placed on il with sprained right ankle,2019-04-10,2019-04-12,2.0,joint,short,Stephen Curry,2022,G,6-2,185.0,Davidson,13,14
placed on il with fractured left hand,2019-11-01,2020-03-04,124.0,bone,long,Stephen Curry,2022,G,6-2,185.0,Davidson,13,15
placed on il with flu,2020-03-07,2020-03-11,4.0,illness,short,Stephen Curry,2022,G,6-2,185.0,Davidson,13,16
placed on il with bruised left quadricep,2022-01-06,2022-01-08,2.0,muscle,short,Stephen Curry,2022,G,6-2,185.0,Davidson,13,17
placed on il with sprained left foot,2022-03-17,2022-04-16,30.0,joint,medium,Stephen Curry,2022,G,6-2,185.0,Davidson,13,18
placed on il with sore left ankle,2022-12-07,2022-12-10,3.0,joint,short,Stephen Curry,2022,G,6-2,185.0,Davidson,13,19
placed on il with left shoulder injury,2022-12-15,2023-01-10,26.0,joint,medium,Stephen Curry,2022,G,6-2,185.0,Davidson,13,20
placed on ir with stress fracture in right foot,1997-10-30,1998-01-02,64.0,bone,long,Stephen Howard,1998,F,6-9,225.0,DePaul,6,0
placed on ir with chronic patella tendinitis in right knee,1998-03-08,1998-04-20,43.0,joint,medium,Stephen Howard,1998,F,6-9,225.0,DePaul,6,1
placed on il with strained right thumb,2002-02-28,2002-03-25,25.0,muscle,medium,Stephen Jackson,2014,F-G,6-8,218.0,Butler County Community College,14,0
placed on il with sprained left thumb,2002-04-03,2006-04-04,1462.0,joint,long,Stephen Jackson,2014,F-G,6-8,218.0,Butler County Community College,14,1
placed on il with sprained left thumb,2003-04-16,2006-04-04,1084.0,joint,long,Stephen Jackson,2014,F-G,6-8,218.0,Butler County Community College,14,2
placed on il with sprained left ankle,2006-04-01,2006-04-04,3.0,joint,short,Stephen Jackson,2014,F-G,6-8,218.0,Butler County Community College,14,3
placed on il with sprained left ankle,2008-02-20,2008-02-26,6.0,joint,short,Stephen Jackson,2014,F-G,6-8,218.0,Butler County Community College,14,4
placed on il with sprained left hand,2008-12-19,2008-12-26,7.0,joint,short,Stephen Jackson,2014,F-G,6-8,218.0,Butler County Community College,14,5
placed on il with hamstring injury,2009-01-07,2009-01-16,9.0,muscle,medium,Stephen Jackson,2014,F-G,6-8,218.0,Butler County Community College,14,6
placed on il with sore right hamstring,2010-04-09,2010-04-10,1.0,muscle,short,Stephen Jackson,2014,F-G,6-8,218.0,Butler County Community College,14,7
placed on il with strained left hamstring,2011-03-07,2011-03-11,4.0,muscle,short,Stephen Jackson,2014,F-G,6-8,218.0,Butler County Community College,14,8
placed on il with strained hamstring,2011-03-19,2011-03-23,4.0,muscle,short,Stephen Jackson,2014,F-G,6-8,218.0,Butler County Community College,14,9
placed on il with strained left hamstring,2011-03-25,2011-03-26,1.0,muscle,short,Stephen Jackson,2014,F-G,6-8,218.0,Butler County Community College,14,10
placed on il with flu  stomach virus,2012-11-09,2012-11-10,1.0,illness,short,Stephen Jackson,2014,F-G,6-8,218.0,Butler County Community College,14,11
placed on il with fractured right pinky finger,2012-11-21,2012-12-17,26.0,bone,medium,Stephen Jackson,2014,F-G,6-8,218.0,Butler County Community College,14,12
placed on il with sprained right ankle,2013-04-04,2013-04-06,2.0,joint,short,Stephen Jackson,2014,F-G,6-8,218.0,Butler County Community College,14,13
placed on il with sprained left shoulder,2006-01-18,2006-01-25,7.0,joint,short,Stephon Marbury,2009,G,6-2,180.0,Georgia Tech,13,0
placed on il with sore shoulder,2006-02-03,2006-02-22,19.0,joint,medium,Stephon Marbury,2009,G,6-2,180.0,Georgia Tech,13,1
placed on il with strained left patella tendon,2006-04-14,2007-01-26,287.0,muscle,long,Stephon Marbury,2009,G,6-2,180.0,Georgia Tech,13,2
placed on il with left knee tendinitis,2007-01-24,2007-01-26,2.0,joint,short,Stephon Marbury,2009,G,6-2,180.0,Georgia Tech,13,3
placed on il with sprained right big toe,2007-04-09,2007-11-14,219.0,joint,long,Stephon Marbury,2009,G,6-2,180.0,Georgia Tech,13,4
placed on il with sore left ankle,2008-01-13,,,joint,unknown,Stephon Marbury,2009,G,6-2,180.0,Georgia Tech,13,5
placed on il with sprained right shoulder,2019-11-29,2019-12-04,5.0,joint,short,Sterling Brown,2022,G,6-5,219.0,SMU,5,0
placed on il with illness,2020-01-24,2020-01-27,3.0,illness,short,Sterling Brown,2022,G,6-5,219.0,SMU,5,1
placed on il with sore left knee out for season,2021-04-11,2021-10-31,203.0,joint,long,Sterling Brown,2022,G,6-5,219.0,SMU,5,2
placed on il with sprained left ankle,2021-10-28,2021-10-31,3.0,joint,short,Sterling Brown,2022,G,6-5,219.0,SMU,5,3
placed on il with illness,2022-04-10,,,illness,unknown,Sterling Brown,2022,G,6-5,219.0,SMU,5,4
placed on il with left knee tendinitis,1995-11-02,1995-11-22,20.0,joint,medium,Steve Bardo,1996,G,6-5,190.0,Illinois,5,0
placed on il with left knee tendinitis,1995-12-18,1996-01-05,18.0,joint,medium,Steve Bardo,1996,G,6-5,190.0,Illinois,5,1
placed on il recovering from right ankle surgery,2004-11-01,2004-11-20,19.0,joint,medium,Steve Blake,2016,G,6-3,172.0,Maryland,13,0
placed on il with strained arch in left foot,2004-12-08,2004-12-26,18.0,muscle,medium,Steve Blake,2016,G,6-3,172.0,Maryland,13,1
placed on il with sprained left ankle,2005-01-06,2005-01-26,20.0,joint,medium,Steve Blake,2016,G,6-3,172.0,Maryland,13,2
